datetime,R5,R4,R3,Pivot,S3,S4,S5,open,high,low,close,dayVolume
15-09-2017 12:09,55.46698113,54.55,54,53.81666667,52.9,52.35,51.43301887,50.15,53.5,48.15,49.3,136594
18-09-2017 12:09,54.77777778,52.2425,50.77125,50.31666667,47.82875,46.3575,43.82222222,50,52.15,50,50,9344
19-09-2017 12:09,52.15,51.1825,50.59125,50.71666667,49.40875,48.8175,47.85,50.3,52.95,50.3,52.3,7753
20-09-2017 12:09,55.05536779,53.7575,53.02875,51.85,51.57125,50.8425,49.54463221,53,53,51,51.25,2659
21-09-2017 12:09,53.25980392,52.35,51.8,51.75,50.7,50.15,49.24019608,54.8,54.8,47.75,49.7,2256
22-09-2017 12:09,57.03790576,53.5775,51.63875,50.75,47.76125,45.8225,42.36209424,48.5,51.85,46.2,49.9,17744
25-09-2017 12:09,56.00248918,53.0075,51.45375,49.31666667,48.34625,46.7925,43.79751082,50,50.5,46.8,48.5,14136
27-09-2017 12:09,51.49087049,49.7175,48.65875,48.55,46.54125,45.4825,43.70912951,51,51,46,47.55,9583
28-09-2017 12:09,52.71847826,50.3,48.925,48.18333333,46.175,44.8,42.38152174,51.95,51.95,46.55,47.5,4166
29-09-2017 12:09,53.01020408,50.47,48.985,48.66666667,46.015,44.53,41.98979592,49.95,49.95,47,47,1713
