Datetime,Sell Price,Lowest Value,Close Value,Max Gains,Close Price Gains,Stop Loss Gains,FixedGains,FixedGainPrice,R4,S4,Open,High,Low,Close,dayVolume
2017-10-16 09:35:00,40.925,40.05,47.9,2.1380574221136226,-17.043372021991452,-2.5979841172877283,1.1,40.474824999999996,41.5725,38.3275,39.0,47.9,36.4,47.9,47089
2017-10-16 09:50:00,41.525,42.0,47.9,-1.1438892233594253,-15.35219747140277,-1.1155328115593048,-1.1155328115593048,41.068225,41.5725,38.3275,39.0,47.9,36.4,47.9,47089
2017-11-01 09:40:00,66.19999999999999,66.2,71.2,-2.146654790816013e-14,-7.552870090634464,-2.521865558912417,-2.521865558912417,65.47179999999999,67.1975,62.3025,65.5,71.2,65.1,71.2,133123
2017-11-01 09:45:00,66.725,66.8,71.2,-0.11240164855751646,-6.706631697264906,-1.7152116897714713,-1.7152116897714713,65.991025,67.1975,62.3025,65.5,71.2,65.1,71.2,133123
2017-11-02 09:25:00,72.525,69.0,73.2,4.860392967942096,-0.9307135470527365,-3.8270251637366357,1.1,71.727225,74.555,67.845,72.7,76.0,69.0,73.2,117241
2017-11-02 12:50:00,73.5,72.4,73.2,1.4965986394557746,0.4081632653061186,-2.449727891156464,1.1,72.6915,74.555,67.845,72.7,76.0,69.0,73.2,117241
2017-11-02 13:20:00,74.575,72.4,73.2,2.9165269862554433,1.8437814280925242,-0.9729131746563838,1.1,73.754675,74.555,67.845,72.7,76.0,69.0,73.2,117241
2017-11-02 13:25:00,74.475,72.4,73.2,2.7861698556562455,1.711983887210462,-1.1084927828130338,1.1,73.65577499999999,74.555,67.845,72.7,76.0,69.0,73.2,117241
2017-11-02 13:30:00,74.775,72.4,73.2,3.1761952524239385,2.1063189568706155,-0.7028418589100575,1.1,73.952475,74.555,67.845,72.7,76.0,69.0,73.2,117241
2017-11-02 14:05:00,74.7,72.4,73.2,3.0789825970548823,2.0080321285140563,-0.8039491298527421,1.1,73.8783,74.555,67.845,72.7,76.0,69.0,73.2,117241
2017-11-02 14:10:00,74.475,72.4,73.2,2.7861698556562455,1.711983887210462,-1.1084927828130338,1.1,73.65577499999999,74.555,67.845,72.7,76.0,69.0,73.2,117241
2017-11-02 14:20:00,73.975,72.4,73.2,2.1290976681311102,1.047651233524828,-1.7918891517404623,1.1,73.16127499999999,74.555,67.845,72.7,76.0,69.0,73.2,117241
2017-11-02 14:40:00,74.625,72.4,73.2,2.9815745393634763,1.9095477386934636,,1.1,73.804125,74.555,67.845,72.7,76.0,69.0,73.2,117241
2017-11-02 14:45:00,74.44999999999999,72.4,73.2,2.7535258562793596,1.6789791806581411,,1.1,73.63104999999999,74.555,67.845,72.7,76.0,69.0,73.2,117241
2017-11-02 14:55:00,73.85,72.4,73.2,1.9634394041976828,0.8801624915368877,,1.1,73.03765,74.555,67.845,72.7,76.0,69.0,73.2,117241
2017-11-02 15:00:00,73.775,72.4,73.2,1.8637749915282953,0.7793968146391093,,1.1,72.963475,74.555,67.845,72.7,76.0,69.0,73.2,117241
2017-11-08 13:35:00,71.95,69.9,71.3,2.8492008339124353,0.9034051424600495,,1.1,71.15855,74.6975,69.8025,73.0,75.0,69.9,71.3,33907
2017-11-09 11:00:00,74.0,71.5,76.25,3.3783783783783785,-3.040540540540541,-1.1433108108108179,1.1,73.18599999999999,74.105,68.495,72.5,78.4,71.5,76.25,56646
2017-11-09 11:45:00,74.0,71.5,76.25,3.3783783783783785,-3.040540540540541,-1.1433108108108179,1.1,73.18599999999999,74.105,68.495,72.5,78.4,71.5,76.25,56646
2017-11-10 15:05:00,80.325,80.0,80.35,0.4046062869592317,-0.031123560535314624,,-0.031123560535314624,79.441425,80.045,72.455,78.2,83.85,77.5,80.35,224455
2017-11-16 09:30:00,75.3,75.85,77.45,-0.7304116865869816,-2.8552456839309506,-2.5290836653386393,-2.5290836653386393,74.4717,76.44,71.16,74.5,77.45,73.6,77.45,16299
2017-11-16 09:35:00,75.85,75.85,77.45,0.0,-2.1094264996704135,-1.7856295319709934,-1.7856295319709934,75.01565,76.44,71.16,74.5,77.45,73.6,77.45,16299
2017-11-17 09:30:00,79.32499999999999,74.2,79.4,6.460762685155987,-0.09454774661206058,-1.3087614245193946,1.1,78.45242499999999,79.5675,75.3325,78.8,80.9,74.2,79.4,73844
2017-11-17 09:35:00,77.5,74.2,79.4,4.2580645161290285,-2.451612903225814,-3.694419354838707,1.1,76.6475,79.5675,75.3325,78.8,80.9,74.2,79.4,73844
